producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XS,2.0,Sadio Mané,2026-01-14,410000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,5.0,Eden Hazard,2026-01-04,2450000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,1.0,Cristiano Ronaldo,30/01/2026,820000
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,XL,5.0,Neymar Jr,2026-03-03,1000000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XXXL,0.0,Mohamed Salah,2026-01-08,820000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XS,2.0,Leo Messi,18/02/2026,1360000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XL,4.0,Mohamed Salah,2026-02-17,6000000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,4.0,Neymar Jr,08/01/2026,3280000
camisa polo de hombre classic fit manga larga varsity con cierre efecto desgaste en algodón,205000.0,S,2.0,Mohamed Salah,2026-02-06,410000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,4.0,CRISTIANO RONALDO,2026-02-14,6000000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,,Kevin De Bruyne,2026-02-05,714000
Camiseta Polo M/C,98000.0,M,-1.0,Virgil van Dijk,2026-02-17,490000
chaqueta de hombre doble faz cuello alto windbreaker bolsillo canguro en mezcla de algodón y poliéster,680000.0,L,3.0,Virgil van Dijk,2026-02-14,2040000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,,XL,4.0,Sadio Mané,2026-01-03,600000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,3.0,Kevin De Bruyne,2026-02-06,450000
